description;population;start_date;end_date;location;zones;annee_scolaire
Vacances de Noël;;2020-12-19;2021-01-04;Guyane;Guyane;2020-2021
Vacances de Carnaval;;2018-02-07;2018-02-19;Martinique;Martinique;2017-2018
Vacances d'Été;Élèves;2018-07-07;2018-09-03;Martinique;Martinique;2017-2018
Vacances de Noël;;2018-12-22;2019-01-07;Martinique;Martinique;2018-2019
Vacances de la Toussaint;;2019-10-19;2019-11-04;Martinique;Martinique;2019-2020
Vacances de Noël;;2017-12-09;2018-01-08;Mayotte;Mayotte;2017-2018
Vacances de la Toussaint;;2019-10-12;2019-10-28;Mayotte;Mayotte;2019-2020
Vacances d'Été;Élèves;2020-07-04;2020-08-24;Mayotte;Mayotte;2019-2020
Vacances de Noël;;2020-12-12;2021-01-11;Mayotte;Mayotte;2020-2021
Vacances 1ère période;;2018-04-07;2018-04-15;Nouvelle Calédonie;Nouvelle Calédonie;2018
Vacances d'Été;Élèves;2018-12-15;2019-02-18;Nouvelle Calédonie;Nouvelle Calédonie;2018
Vacances 3ème période;;2019-08-10;2019-08-25;Nouvelle Calédonie;Nouvelle Calédonie;2019
Vacances 4ème période;;2020-10-10;2020-10-25;Nouvelle Calédonie;Nouvelle Calédonie;2020
Vacances d'Été;Enseignants;2020-12-19;2021-02-15;Nouvelle Calédonie;Nouvelle Calédonie;2020
Vacances 3ème période;;2021-08-07;2021-08-22;Nouvelle Calédonie;Nouvelle Calédonie;2021
