description;population;start_date;end_date;location;zones;annee_scolaire
Vacances de Printemps;;2019-04-06;2019-04-23;Rennes;Zone B;2018-2019
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Rennes;Zone B;2018-2019
Vacances de la Toussaint;;2019-10-19;2019-11-04;Rennes;Zone B;2019-2020
Vacances d'Hiver;;2021-02-20;2021-03-08;Rennes;Zone B;2020-2021
Vacances de Printemps;;2021-04-24;2021-05-10;Rennes;Zone B;2020-2021
Vacances de Printemps;;2018-04-21;2018-05-07;Rouen;Zone B;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Rouen;Zone B;2018-2019
Vacances de la Toussaint;;2019-10-19;2019-11-04;Rouen;Zone B;2019-2020
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Strasbourg;Zone B;2018-2019
Vacances de la Toussaint;;2020-10-17;2020-11-02;Strasbourg;Zone B;2020-2021
Vacances d'Hiver;;2021-02-20;2021-03-08;Strasbourg;Zone B;2020-2021
Pont de l'Ascension;;2021-05-13;2021-05-17;Strasbourg;Zone B;2020-2021
Vacances de Noël;;2018-12-22;2019-01-07;Créteil;Zone C;2018-2019
Vacances de Printemps;;2019-04-20;2019-05-06;Créteil;Zone C;2018-2019
Vacances de la Toussaint;;2020-10-17;2020-11-02;Créteil;Zone C;2020-2021
Vacances de Noël;;2017-12-23;2018-01-08;Montpellier;Zone C;2017-2018
Vacances de Printemps;;2018-04-14;2018-04-30;Montpellier;Zone C;2017-2018
Vacances de Noël;;2018-12-22;2019-01-07;Montpellier;Zone C;2018-2019
Vacances d'Hiver;;2019-02-23;2019-03-11;Montpellier;Zone C;2018-2019
Vacances d'Hiver;;2020-02-08;2020-02-24;Montpellier;Zone C;2019-2020
Vacances de Noël;;2018-12-22;2019-01-07;Paris;Zone C;2018-2019
Vacances d'Hiver;;2019-02-23;2019-03-11;Paris;Zone C;2018-2019
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Paris;Zone C;2018-2019
Vacances d'Hiver;;2021-02-13;2021-03-01;Paris;Zone C;2020-2021
Vacances de Printemps;;2018-04-14;2018-04-30;Toulouse;Zone C;2017-2018
Vacances de Printemps;;2020-04-04;2020-04-20;Toulouse;Zone C;2019-2020
Vacances de Printemps;;2020-04-04;2020-04-20;Versailles;Zone C;2019-2020
Vacances d'Été;;2020-07-04;2020-09-01;Versailles;Zone C;2019-2020
Vacances de Printemps;;2010-04-26;2010-05-10;Corse;Corse;2009-2010
Vacances d'Été;Élèves;2010-07-08;2010-09-09;Corse;Corse;2009-2010
Vacances d'Été;Enseignants;2010-07-08;2010-09-09;Corse;Corse;2009-2010
Vacances d'Été;Élèves;2011-07-06;2011-09-09;Corse;Corse;2010-2011
Vacances de Printemps;;2012-04-23;2012-05-07;Corse;Corse;2011-2012
Vacances de Noël;;2012-12-24;2013-01-07;Corse;Corse;2012-2013
Vacances d'Hiver;;2014-02-24;2014-03-10;Corse;Corse;2013-2014
Vacances de Noël;;2014-12-21;2015-01-05;Corse;Corse;2014-2015
Vacances de la Toussaint;;2016-10-20;2016-11-03;Corse;Corse;2016-2017
Vacances d'Été;Enseignants;2017-07-12;2017-09-04;Corse;Corse;2016-2017
Vacances d'Hiver;;2018-02-26;2018-03-12;Corse;Corse;2017-2018
Vacances d'Été;Élèves du premier degré;2018-07-10;2018-09-05;Corse;Corse;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Guadeloupe;Guadeloupe;2018-2019
Abolition de l’esclavage;Saint-Barthélémy;2019-10-09;2019-10-09;Guadeloupe;Guadeloupe;2019-2020
Vacances de Carnaval;;2020-02-15;2020-03-02;Guadeloupe;Guadeloupe;2019-2020
Pont de l'Ascension;;2020-05-22;2020-05-23;Guadeloupe;Guadeloupe;2019-2020
Vacances de Printemps;;2019-04-18;2019-05-06;Guyane;Guyane;2018-2019
Pont de l'Ascension;;2020-05-20;2020-05-25;Guyane;Guyane;2019-2020
Vacances d'Été;Enseignants;2018-07-07;2018-08-31;Martinique;Martinique;2017-2018
Vacances de la Toussaint;;2018-10-20;2018-11-05;Martinique;Martinique;2018-2019
Vacances d'Été;Enseignants;2019-07-06;2019-08-30;Martinique;Martinique;2018-2019
Vacances d'Été;Élèves;2019-07-06;2019-09-02;Martinique;Martinique;2018-2019
Vacances de Carnaval;;2020-02-22;2020-03-09;Martinique;Martinique;2019-2020
Vacances de Carnaval;;2018-02-24;2018-03-12;Mayotte;Mayotte;2017-2018
Vacances de Printemps;;2018-05-05;2018-05-14;Mayotte;Mayotte;2017-2018
Vacances d'Été;Élèves;2018-07-07;2018-08-23;Mayotte;Mayotte;2017-2018
Vacances d'Été;Enseignants;2018-07-07;2018-08-20;Mayotte;Mayotte;2017-2018
Vacances de Printemps;;2020-05-02;2020-05-11;Mayotte;Mayotte;2019-2020
Vacances d'Été;Enseignants;2020-07-04;2020-08-20;Mayotte;Mayotte;2019-2020
Vacances 4ème période;;2018-10-13;2018-10-28;Nouvelle Calédonie;Nouvelle Calédonie;2018
Vacances d'Été;Enseignants;2018-12-15;2019-02-15;Nouvelle Calédonie;Nouvelle Calédonie;2018
Vacances 1ère période;;2021-04-03;2021-04-18;Nouvelle Calédonie;Nouvelle Calédonie;2021
Vacances 2ème période;;2021-06-05;2021-06-20;Nouvelle Calédonie;Nouvelle Calédonie;2021
Vacances de Novembre;;2017-10-28;2017-11-13;Polynésie;Polynésie;2017-2018
Vacances de Pâques;;2018-03-31;2018-04-16;Polynésie;Polynésie;2017-2018
Grandes Vacances;Élèves du second degré;2018-07-07;2018-08-10;Polynésie;Polynésie;2017-2018
Grandes Vacances;Élèves du second degré;2018-07-07;2018-08-14;Polynésie;Polynésie;2017-2018
Vacances de Septembre;;2018-09-15;2018-09-24;Polynésie;Polynésie;2018-2019
Vacances de Novembre;;2018-10-27;2018-11-12;Polynésie;Polynésie;2018-2019
Vacances de Noël;;2019-12-14;2020-01-13;Polynésie;Polynésie;2019-2020
Vacances de Février;;2020-02-15;2020-02-24;Polynésie;Polynésie;2019-2020
Vacances de Février;;2021-02-20;2021-03-01;Polynésie;Polynésie;2020-2021
Grandes Vacances;Élèves des lycées;2021-06-26;2021-08-10;Polynésie;Polynésie;2020-2021
Grandes Vacances;Élèves des collèges;2021-07-03;2021-08-10;Polynésie;Polynésie;2020-2021
Vacances de Septembre;;2021-09-11;2021-09-20;Polynésie;Polynésie;2021-2022
Vacances de Février;;2022-02-19;2022-02-28;Polynésie;Polynésie;2021-2022
Grandes Vacances;Enseignants du premier degré;2022-06-30;2022-08-08;Polynésie;Polynésie;2021-2022
Vacances de Novembre;;2022-10-22;2022-11-07;Polynésie;Polynésie;2022-2023
Vacances après 1ère période;;2019-10-12;2019-10-28;Réunion;Réunion;2019-2020
Vacances après 4ème période;;2020-04-30;2020-05-14;Réunion;Réunion;2019-2020
Vacances d'Hiver austral;Enseignants;2020-07-04;2020-08-14;Réunion;Réunion;2019-2020
Vacances d'Été austral;;2020-12-19;2021-01-25;Réunion;Réunion;2020-2021
Vacances après 4ème période;;2021-05-04;2021-05-17;Réunion;Réunion;2020-2021
Vacances de la Toussaint;;2017-10-25;2017-11-06;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2017-2018
Vacances d'Hiver;;2018-02-24;2018-03-12;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2017-2018
Vacances de Printemps;;2018-04-28;2018-05-14;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2017-2018
Vacances de Printemps;;2019-04-19;2019-05-06;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2018-2019
Vacances d'Été;;2020-07-03;;Saint Pierre et Miquelon;Saint Pierre et Miquelon;2019-2020
Vacances 4ème période;;2018-10-13;2018-10-29;Wallis et Futuna;Wallis et Futuna;2018
